,Zeitstempel,Wert
766,201802012200.0,2.2
767,201802012300.0,2.3
768,201802020000.0,2.5
769,201802020100.0,2.5
770,201802020200.0,2.7
771,201802020300.0,3.0
772,201802020400.0,3.5
773,201802020500.0,3.6
774,201802020600.0,3.7
775,201802020700.0,2.9
776,201802020800.0,1.5
777,201802020900.0,2.5
778,201802021000.0,3.1
779,201802021100.0,3.2
780,201802021200.0,3.3
781,201802021300.0,3.5
782,201802021400.0,3.5
783,201802021500.0,3.8
784,201802021600.0,3.5
785,201802021700.0,3.8
786,201802021800.0,4.0
787,201802021900.0,3.6
788,201802022000.0,3.4
789,201802022100.0,3.2
790,201802022200.0,2.6
791,201802022300.0,2.7
792,201802030000.0,2.5
793,201802030100.0,2.3
794,201802030200.0,1.9
795,201802030300.0,1.9
796,201802030400.0,1.7
797,201802030500.0,1.5
798,201802030600.0,1.1
799,201802030700.0,0.8
800,201802030800.0,0.9
801,201802030900.0,1.1
802,201802031000.0,1.7
803,201802031100.0,1.7
804,201802031200.0,1.8
805,201802031300.0,1.3
806,201802031400.0,0.9
807,201802031500.0,0.3
808,201802031600.0,-0.1
809,201802031700.0,-0.4
810,201802031800.0,-0.6
811,201802031900.0,-0.5
812,201802032000.0,-0.3
813,201802032100.0,-0.3
814,201802032200.0,-0.6
815,201802032300.0,-1.0
816,201802040000.0,-1.1
817,201802040100.0,-1.1
818,201802040200.0,-1.3
819,201802040300.0,-1.4
820,201802040400.0,-1.2
821,201802040500.0,-1.6
822,201802040600.0,-1.9
823,201802040700.0,-2.3
824,201802040800.0,-3.6
825,201802040900.0,-1.7
826,201802041000.0,-1.1
827,201802041100.0,-0.6
828,201802041200.0,0.2
829,201802041300.0,0.4
830,201802041400.0,0.4
831,201802041500.0,0.5
832,201802041600.0,0.2
833,201802041700.0,0.1
834,201802041800.0,0.1
835,201802041900.0,0.1
836,201802042000.0,0.3
837,201802042100.0,0.3
838,201802042200.0,0.1
839,201802042300.0,0.3
840,201802050000.0,0.4
841,201802050100.0,0.6
842,201802050200.0,0.6
843,201802050300.0,0.6
844,201802050400.0,0.6
845,201802050500.0,0.4
846,201802050600.0,0.4
847,201802050700.0,0.0
848,201802050800.0,0.0
849,201802050900.0,-0.1
850,201802051000.0,0.0
851,201802051100.0,-0.1
852,201802051200.0,-0.1
853,201802051300.0,0.7
854,201802051400.0,1.1
855,201802051500.0,1.1
856,201802051600.0,0.8
857,201802051700.0,0.4
858,201802051800.0,0.2
859,201802051900.0,-0.2
860,201802052000.0,-0.7
861,201802052100.0,-1.7
862,201802052200.0,-1.7
863,201802052300.0,-2.2
864,201802060000.0,-3.4
865,201802060100.0,-4.0
866,201802060200.0,-4.8
867,201802060300.0,-5.3
868,201802060400.0,-5.7
869,201802060500.0,-6.0
870,201802060600.0,-6.0
871,201802060700.0,-6.6
872,201802060800.0,-5.6
873,201802060900.0,-3.9
874,201802061000.0,-2.9
875,201802061100.0,-2.1
876,201802061200.0,-0.8
877,201802061300.0,-0.7
878,201802061400.0,-0.9
879,201802061500.0,-1.2
880,201802061600.0,-1.3
881,201802061700.0,-1.9
882,201802061800.0,-2.0
883,201802061900.0,-2.4
884,201802062000.0,-2.4
885,201802062100.0,-2.6
886,201802062200.0,-2.6
887,201802062300.0,-2.8
888,201802070000.0,-2.8
889,201802070100.0,-2.9
890,201802070200.0,-2.8
891,201802070300.0,-2.9
892,201802070400.0,-2.9
893,201802070500.0,-3.3
894,201802070600.0,-4.0
895,201802070700.0,-4.6
896,201802070800.0,-5.2
897,201802070900.0,-4.9
898,201802071000.0,-3.6
899,201802071100.0,-1.5
900,201802071200.0,-0.4
901,201802071300.0,0.5
902,201802071400.0,1.0
903,201802071500.0,1.0
904,201802071600.0,-0.1
905,201802071700.0,-1.6
906,201802071800.0,-2.9
907,201802071900.0,-3.0
908,201802072000.0,-3.9
909,201802072100.0,-4.5
910,201802072200.0,-4.7
911,201802072300.0,-5.0
912,201802080000.0,-5.4
913,201802080100.0,-5.9
914,201802080200.0,-6.8
915,201802080300.0,-7.4
916,201802080400.0,-7.7
917,201802080500.0,-7.7
918,201802080600.0,-7.9
919,201802080700.0,-7.4
920,201802080800.0,-5.9
921,201802080900.0,-4.5
922,201802081000.0,-3.3
923,201802081100.0,-2.0
924,201802081200.0,-0.6
925,201802081300.0,-0.8
926,201802081400.0,-0.5
927,201802081500.0,-0.4
928,201802081600.0,-0.9
929,201802081700.0,-2.0
930,201802081800.0,-2.8
