Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Niveau,Qualitaet_Byte
TT_TU_MN009,2014,201501121500.00,7.9,7,1
TT_TU_MN009,2014,201501121600.00,7.6,7,1
TT_TU_MN009,2014,201501121700.00,7.6,7,1
TT_TU_MN009,2014,201501121800.00,8.7,7,1
TT_TU_MN009,2014,201501121900.00,8.9,7,1
TT_TU_MN009,2014,201501122000.00,9.3,7,1
TT_TU_MN009,2014,201501122100.00,8.7,7,1
TT_TU_MN009,2014,201501122200.00,8.1,7,1
TT_TU_MN009,2014,201501122300.00,8.5,7,1
TT_TU_MN009,2014,201501130000.00,8.6,7,1
TT_TU_MN009,2014,201501130100.00,8.8,7,1
TT_TU_MN009,2014,201501130200.00,9.1,7,1
TT_TU_MN009,2014,201501130300.00,9,7,1
TT_TU_MN009,2014,201501130400.00,9.1,7,1
TT_TU_MN009,2014,201501130500.00,8.6,7,1
TT_TU_MN009,2014,201501130600.00,8.6,7,1
TT_TU_MN009,2014,201501130700.00,9.3,7,1
TT_TU_MN009,2014,201501130800.00,10.2,7,1
TT_TU_MN009,2014,201501130900.00,10.4,7,1
TT_TU_MN009,2014,201501131000.00,10.3,7,1
TT_TU_MN009,2014,201501131100.00,10.3,7,1
TT_TU_MN009,2014,201501131200.00,10.7,7,1
TT_TU_MN009,2014,201501131300.00,11.8,7,1
TT_TU_MN009,2014,201501131400.00,11.3,7,1
TT_TU_MN009,2014,201501131500.00,9.8,7,1
TT_TU_MN009,2014,201501131600.00,8.8,7,1
TT_TU_MN009,2014,201501131700.00,8.4,7,1
TT_TU_MN009,2014,201501131800.00,8.9,7,1
TT_TU_MN009,2014,201501131900.00,8.7,7,1
TT_TU_MN009,2014,201501132000.00,8.3,7,1
TT_TU_MN009,2014,201501132100.00,8,7,1
TT_TU_MN009,2014,201501132200.00,7.8,7,1
TT_TU_MN009,2014,201501132300.00,7.4,7,1
TT_TU_MN009,2014,201501140000.00,7.3,7,1
TT_TU_MN009,2014,201501140100.00,7.3,7,1
TT_TU_MN009,2014,201501140200.00,6.9,7,1
TT_TU_MN009,2014,201501140300.00,7.1,7,1
TT_TU_MN009,2014,201501140400.00,4.6,7,1
TT_TU_MN009,2014,201501140500.00,3.7,7,1
TT_TU_MN009,2014,201501140600.00,4.3,7,1
TT_TU_MN009,2014,201501140700.00,4.2,7,1
TT_TU_MN009,2014,201501140800.00,4.3,7,1
TT_TU_MN009,2014,201501140900.00,4.5,7,1
TT_TU_MN009,2014,201501141000.00,5.5,7,1
TT_TU_MN009,2014,201501141100.00,5.6,7,1
TT_TU_MN009,2014,201501141200.00,5.7,7,1
TT_TU_MN009,2014,201501141300.00,5.3,7,1
TT_TU_MN009,2014,201501141400.00,3.6,7,1
TT_TU_MN009,2014,201501141500.00,4,7,1
TT_TU_MN009,2014,201501141600.00,4.6,7,1
TT_TU_MN009,2014,201501141700.00,4.6,7,1
TT_TU_MN009,2014,201501141800.00,4.4,7,1
TT_TU_MN009,2014,201501141900.00,3.5,7,1
TT_TU_MN009,2014,201501142000.00,3.1,7,1
TT_TU_MN009,2014,201501142100.00,2.8,7,1
TT_TU_MN009,2014,201501142200.00,2.5,7,1
TT_TU_MN009,2014,201501142300.00,2.6,7,1
TT_TU_MN009,2014,201501150000.00,2.7,7,1
TT_TU_MN009,2014,201501150100.00,2.9,7,1
TT_TU_MN009,2014,201501150200.00,2.8,7,1
TT_TU_MN009,2014,201501150300.00,3.3,7,1
